index,latitude,longitude
1,40.6815441,-75.1926101
2,40.681246,-75.1896976
3,40.6815369,-75.1865195
4,40.6817464,-75.1833569
5,40.6812848,-75.1804567
6,40.680197,-75.1778001
7,40.678826,-75.1752434
8,40.6775089,-75.1726457
9,40.6764125,-75.1699408
10,40.6755373,-75.1671361
11,40.6748772,-75.1642416
12,40.6744257,-75.1612676
13,40.6741765,-75.1582242
14,40.6741233,-75.1551218
15,40.6742599,-75.1519705
16,40.6745798,-75.1487805
17,40.6750767,-75.145562
18,40.6757444,-75.1423252
19,40.6765765,-75.1390804
20,40.6775667,-75.1358378
21,40.6787087,-75.1326075
22,40.6799961,-75.1293998
23,40.6814226,-75.1262248
24,40.682982,-75.1230929
25,40.6846678,-75.1200142
26,40.6864738,-75.1169988
27,40.6883936,-75.1140571
28,40.690421,-75.1111993
29,40.6925495,-75.1084354
30,40.694773,-75.1057758
31,40.697085,-75.1032307
32,40.6994792,-75.1008103
33,40.7019494,-75.0985247
34,40.7044891,-75.0963842
35,40.7070922,-75.094399
36,40.7097522,-75.0925793
37,40.7124628,-75.0909354
38,40.7152173,-75.0894771
39,40.7178049,-75.0880927
40,40.7194895,-75.0863571
41,40.7199244,-75.0840033
42,40.7201009,-75.0813522
43,40.7210198,-75.0787599
44,40.7226321,-75.0762662
45,40.7245832,-75.0738183
46,40.726537,-75.0713666
47,40.7283709,-75.0688926
48,40.7300984,-75.0663978
49,40.7317355,-75.0638844
50,40.733298,-75.0613542
51,40.7348018,-75.0588093
52,40.7362629,-75.0562516
53,40.7376972,-75.053683
54,40.7391204,-75.0511056
55,40.7405486,-75.0485214
56,40.7419976,-75.0459322
57,40.7434833,-75.0433401
58,40.7450216,-75.040747
59,40.7466274,-75.0381548
60,40.7482891,-75.0355607
61,40.7499661,-75.0329572
62,40.7516162,-75.0303362
63,40.7531975,-75.02769
64,40.7546677,-75.0250107
65,40.7559849,-75.0222902
66,40.7571317,-75.0195252
67,40.7582137,-75.0167326
68,40.7593733,-75.0139362
69,40.7607434,-75.0111583
70,40.7623012,-75.0084038
71,40.7639034,-75.0056638
72,40.7654036,-75.0029289
73,40.7666553,-75.00019
74,40.7675119,-74.9974378
75,40.767827,-74.9946629
76,40.767457,-74.9918562
77,40.766453,-74.9890137
78,40.7651791,-74.9861394
79,40.7640281,-74.9832383
80,40.7633918,-74.9803152
81,40.7634665,-74.977372
82,40.7640053,-74.9744034
83,40.7647,-74.9714032
84,40.7652424,-74.9683651
85,40.7654263,-74.9652925
86,40.7653723,-74.9622187
87,40.7652665,-74.9591834
